Date,Check #,Donor,Address,Address 2,City,ST,Zip,Account,Amount,Memo
1/4/2016,0,,,,,,,4171100 7 FCF - General Fund,"1,725.25",71100 - FCF General Fund
1/4/2016,0,,,,,,,4171380 7 FCF - Seed of Hope,"1,000.00",71380 - FCF - Seed of Hope
1/4/2016,0,,,,,,,4171380 7 FCF - Seed of Hope,103,71380 - FCF - Seed of Hope
1/4/2016,0,,,,,,,4171110 7 FCF - Ban San Rak,103,71110 - FCF - Ban San Rak
1/4/2016,0,,,,,,,4171390 7 FCF - The Light Center,100,71390 - FCF - The Light Center
1/4/2016,0,,,,,,,4171340 7 FCF - New Life Ministries,25,71340 - FCF - New Life Ministries
1/4/2016,0,,,,,,,4171390 7 FCF - The Light Center,20,71390 - FCF - The Light Center
1/8/2016,15993,,,,,,,4171110 7 FCF - Ban San Rak,301,71110 - FCF - Ban San Rak
1/8/2016,15993,,,,,,,4171240 7 FCF - Home of the Swallow,10,71240 - FCF - Home of the Swallow
1/11/2016,0,,,,,,,4171210 7 FCF - GOH Children's Center,"1,030.00",71210 - FCF - Garden of Hope Children's Center/Tawsaeng
1/11/2016,0,,,,,,,4171250 7 FCF - HUG Project,200,71250 - FCF - HUG Project
1/11/2016,0,,,,,,,4171171 7 FCF - Boonrang Family Ministry,100,71171 - FCF - Boonrang Family Ministry
1/11/2016,0,,,,,,,4171380 7 FCF - Seed of Hope,75,71380 - FCF - Seed of Hope
1/11/2016,0,,,,,,,4171210 7 FCF - GOH Children's Center,51.5,71210 - FCF - Garden of Hope Children's Center/Tawsaeng
1/11/2016,0,,,,,,,4171171 7 FCF - Boonrang Family Ministry,50,71171 - FCF - Boonrang Family Ministry
1/11/2016,5857,,,,,,,4171140 7 FCF - Compass31,"1,600.00",71140 - FCF - Compass31
1/11/2016,4044,,,,,,,4171390 7 FCF - The Light Center,"1,000.00",71390 - FCF - The Light Center
1/11/2016,1100,,,,,,,4171210 7 FCF - GOH Children's Center,"1,000.00",71210 - FCF - Garden of Hope Children's Center/Tawsaeng
1/11/2016,17713788,,,,,,,4171110 7 FCF - Ban San Rak,300,71110 - FCF - Ban San Rak
1/11/2016,18643043,,,,,,,4171210 7 FCF - GOH Children's Center,300,71210 - FCF - Garden of Hope Children's Center/Tawsaeng
1/11/2016,2725,,,,,,,4171160 7 FCF - Connie's Home,146.37,71160 - FCF - Connie's Home
1/11/2016,445,,,,,,,4171380 7 FCF - Seed of Hope,100,71380 - FCF - Seed of Hope
1/11/2016,3460,,,,,,,4171380 7 FCF - Seed of Hope,100,71380 - FCF - Seed of Hope
1/14/2016,0,,,,,,,4171380 7 FCF - Seed of Hope,75,71380 - FCF - Seed of Hope
1/15/2016,0,,,,,,,4171171 7 FCF - Boonrang Family Ministry,"1,200.00",71171 - FCF - Boonrang Family Ministry
1/16/2016,0,,,,,,,4171390 7 FCF - The Light Center,257.5,71390 - FCF - The Light Center
1/16/2016,0,,,,,,,4171135 7 FCF - CCF Chiang Mai Chr Fel GF,150,71135 - FCF - CCF Chiang Mai Christian Fellowship General Fund
1/16/2016,0,,,,,,,4171171 7 FCF - Boonrang Family Ministry,103,71171 - FCF - Boonrang Family Ministry
1/16/2016,0,,,,,,,4171390 7 FCF - The Light Center,103,71390 - FCF - The Light Center
1/16/2016,0,,,,,,,4171171 7 FCF - Boonrang Family Ministry,51.5,71171 - FCF - Boonrang Family Ministry
1/16/2016,0,,,,,,,4171171 7 FCF - Boonrang Family Ministry,51.5,71171 - FCF - Boonrang Family Ministry
1/16/2016,0,,,,,,,4171390 7 FCF - The Light Center,50,71390 - FCF - The Light Center
1/16/2016,0,,,,,,,4171171 7 FCF - Boonrang Family Ministry,50,71171 - FCF - Boonrang Family Ministry
1/16/2016,0,,,,,,,4171380 7 FCF - Seed of Hope,20,71380 - FCF - Seed of Hope
1/18/2016,20486,,,,,,,4171310 7 FCF - Lahu Ministry,"1,800.00",71310 - FCF - Lahu Ministry
1/18/2016,25837,,,,,,,4171190 7 FCF - Education Matters,500,71190 - FCF - Education Matters
1/18/2016,1429323,,,,,,,4171110 7 FCF - Ban San Rak,500,71110 - FCF - Ban San Rak
1/18/2016,997066,,,,,,,4171110 7 FCF - Ban San Rak,400,71110 - FCF - Ban San Rak
